codi                           area_joc_id             tipus              area_joc_superficie_m2   area_joc_tipus_edat_id         area_joc_tipus_edat_nom   codi_carrer            tipus_via   nom_carrer              numero_postal codi_districte nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                espai_verd_codi        espai_verd_nom
0006-01-J002-PV001-0000325JO                   42323   ALTRES_JOCS        87.04                                             549   MIXTA                                   350603   Pl          Valenti_Almirall                    7             10 Sant_Marti                   65   el_Clot                                 432.493.895              4.584.446.032              21.923.194                      6   Valenti_Almirall_Pl.
0006-01-J002-PV001-0000327JO                   42323   BALANCi            87.04                                             549   MIXTA                                   350603   Pl          Valenti_Almirall                    7             10 Sant_Marti                   65   el_Clot                                 432.495.427              4.584.455.412              21.923.367                      6   Valenti_Almirall_Pl.
0006-01-J002-PV001-0000329JO                   42323   TOBOGAN            87.04                                             549   MIXTA                                   350603   Pl          Valenti_Almirall                    7             10 Sant_Marti                   65   el_Clot                                 432.496.371              4.584.451.005              21.923.485                      6   Valenti_Almirall_Pl.
0007-01-J001-PV001-0000324JO                   42304   MULTIJOC           124.12                                            547   DE_6_A_12_ANYS                          109101   C           Enamorats                        154              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.884.847              4.584.458.248              21.850.318                      7   Valencia_c._-_Enamorats_c.__(_de_l'Oca_Pl.)
0007-01-J001-PV001-0004303JO                   42304   VA_I_Ve            124.12                                            547   DE_6_A_12_ANYS                          109101   C           Enamorats                        154              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.887.695              4.584.462.649              21.850.654                      7   Valencia_c._-_Enamorats_c.__(_de_l'Oca_Pl.)
0008-01-J001-PV001-0000321JO                   42287   VA_I_Ve            123.13                                            547   DE_6_A_12_ANYS                           90502   C           Corsega                          674              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.479.389              4.584.819.328              21.801.402                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J001-PV001-0000322JO                   42287   MULTIJOC           123.13                                            547   DE_6_A_12_ANYS                           90502   C           Corsega                          674              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.473.444              4.584.817.954              21.800.693                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J002-PV001-0000320JO                   42288   GRIMPAR            99.30                                             547   DE_6_A_12_ANYS                           90502   C           Corsega                          674              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.490.648              4.584.821.256              21.802.747                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J002-PV001-0000323JO                   42288   GRONXADOR          99.30                                             547   DE_6_A_12_ANYS                           90502   C           Corsega                          674              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.489.858              4.584.813.616              21.802.661                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J002-PV001-0004667JO                   42288   SEIENT_GRONXADOR   99.30                                             547   DE_6_A_12_ANYS                           90502   C           Corsega                          674              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.489.956              4.584.814.317              21.802.672                      8   Sant_Josep_de_Calassanç_Pl.
0008-01-J002-PV001-0004668JO                   42288   SEIENT_GRONXADOR   99.30                                             547   DE_6_A_12_ANYS                           90502   C           Corsega                          674              10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.489.716              4.584.812.954              21.802.645                      8   Sant_Josep_de_Calassanç_Pl.
0011-01-J001-PV001-0000315JO                   42264   BALANCi            66.10                                             546   FINS_A_5_ANYS                           700175   Pl          Can_Robacols                        0             10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.741.349              4.584.823.778              21.832.738                     11   Can_Robacols_Pl.
0011-01-J001-PV001-0000316JO                   42264   ALTRES_JOCS        66.10                                             546   FINS_A_5_ANYS                           700175   Pl          Can_Robacols                        0             10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.739.167              4.584.814.837              21.832.487                     11   Can_Robacols_Pl.
0011-01-J001-PV001-0000318JO                   42264   BALANCi            66.10                                             546   FINS_A_5_ANYS                           700175   Pl          Can_Robacols                        0             10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.740.659              4.584.821.267              21.832.658                     11   Can_Robacols_Pl.
0011-01-J002-PV001-0003466JO                  696500   GRONXADOR          117.48                                            547   DE_6_A_12_ANYS                          700175   Pl          Can_Robacols                        0             10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.720.193              4.584.821.124              21.830.210                     11   Can_Robacols_Pl.
0011-01-J002-PV001-0003467JO                  696500   MULTIJOC           117.48                                            547   DE_6_A_12_ANYS                          700175   Pl          Can_Robacols                        0             10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.725.772              4.584.816.503              21.830.883                     11   Can_Robacols_Pl.
0011-01-J002-PV001-0004669JO                  696500   SEIENT_GRONXADOR   117.48                                            547   DE_6_A_12_ANYS                          700175   Pl          Can_Robacols                        0             10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.720.106              4.584.821.786              21.830.199                     11   Can_Robacols_Pl.
0011-01-J002-PV001-0004670JO                  696500   SEIENT_GRONXADOR   117.48                                            547   DE_6_A_12_ANYS                          700175   Pl          Can_Robacols                        0             10 Sant_Marti                   64   el_Camp_de_l'Arpa_del_Clot              431.720.320              4.584.820.393              21.830.226                     11   Can_Robacols_Pl.
0013-01-J001-PV001-0000313JO                   42252   TORRE_TOBOGAN      102.04                                            547   DE_6_A_12_ANYS                           30409   C           Bac_de_Roda                      171              10 Sant_Marti                   72   Sant_Marti_de_Provençals                432.840.857              4.584.900.622              21.964.198                     13   Bac_de_Roda_c._-_Andrade_c._
0019-02-J001-PV001-0000308JO                   42237   MULTIJOC           123.23                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          12             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.479.347              4.585.527.404              22.039.899                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0019-02-J001-PV001-0000310JO                   42237   BALANCi            123.23                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          12             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.472.172              4.585.531.796              22.039.036                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0019-02-J001-PV001-0000311JO                   42237   BALANCi            123.23                                            547   DE_6_A_12_ANYS                           60807   C           Cantabria                          12             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.475.839              4.585.532.959              22.039.473                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0019-02-J002-PV001-0000307JO                   42238   MULTIJOC           106.04                                            546   FINS_A_5_ANYS                            60807   C           Cantabria                          12             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.437.170              4.585.571.018              22.034.805                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0019-02-J002-PV001-0000309JO                   42238   BALANCi            106.04                                            546   FINS_A_5_ANYS                            60807   C           Cantabria                          12             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.441.975              4.585.568.124              22.035.383                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0020-01-J001-PV001-0005007JO                 1029320   CARRUSEL           297.66                                              0   -                                       343200   Via         Trajana                            27             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.658.600              4.586.517.353              22.060.261                     20   Trajana_Via_c._-_Santander_c._-_Verneda_Pg._-_Binefar_c.
0020-01-J001-PV001-0005008JO                 1029320   MULTIJOC           297.66                                              0   -                                       343200   Via         Trajana                            27             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.656.647              4.586.511.219              22.060.034                     20   Trajana_Via_c._-_Santander_c._-_Verneda_Pg._-_Binefar_c.
0020-01-J001-PV001-0005009JO                 1029320   GRONXADOR          297.66                                              0   -                                       343200   Via         Trajana                            27             10 Sant_Marti                   73   la_Verneda_i_la_Pau                     433.653.132              4.586.517.448              22.059.607                     20   Trajana_Via_c._-_Santander_c._-_Verneda_Pg._-_Binefar_c.
0022-01-J001-PV002-0000298JO                   42172   GRONXADOR          107.04                                            547   DE_6_A_12_ANYS                          242906   C           Pallars                         8361              10 Sant_Marti                   68   el_Poblenou                             433.198.738              4.583.890.185              22.008.131                     22   Can_Felipa_Pl._(Fabrica_Catex_c.)
0022-01-J001-PV002-0000299JO                   42172   VA_I_Ve            107.04                                            547   DE_6_A_12_ANYS                          242906   C           Pallars                         8361              10 Sant_Marti                   68   el_Poblenou                             433.197.127              4.583.893.752              22.007.935                     22   Can_Felipa_Pl._(Fabrica_Catex_c.)
0022-01-J001-PV002-0000300JO                   42172   MULTIJOC           107.04                                            547   DE_6_A_12_ANYS                          242906   C           Pallars                         8361              10 Sant_Marti                   68   el_Poblenou                             433.200.730              4.583.894.434              22.008.365                     22   Can_Felipa_Pl._(Fabrica_Catex_c.)
0022-01-J001-PV002-0000301JO                   42172   BALANCi            107.04                                            547   DE_6_A_12_ANYS                          242906   C           Pallars                         8361              10 Sant_Marti                   68   el_Poblenou                             433.195.051              4.583.890.641              22.007.690                     22   Can_Felipa_Pl._(Fabrica_Catex_c.)
0024-02-J001-PV001-0000295JO                   42155   MULTIJOC           205.91                                            547   DE_6_A_12_ANYS                           18505   C           Arago                            661              10 Sant_Marti                   65   el_Clot                                 432.479.546              4.584.919.218              21.920.950                     24   Guipuscoa_c._-_Biscaia_c._
0024-02-J001-PV001-0000296JO                   42155   GRONXADOR          205.91                                            547   DE_6_A_12_ANYS                           18505   C           Arago                            661              10 Sant_Marti                   65   el_Clot                                 432.484.121              4.584.923.643              21.921.492                     24   Guipuscoa_c._-_Biscaia_c._
0024-02-J001-PV001-0004976JO                   42155   SEIENT_GRONXADOR   205.91                                            547   DE_6_A_12_ANYS                           18505   C           Arago                            661              10 Sant_Marti                   65   el_Clot                                 432.484.768              4.584.924.047              21.921.569                     24   Guipuscoa_c._-_Biscaia_c._
0024-02-J001-PV001-0004977JO                   42155   SEIENT_GRONXADOR   205.91                                            547   DE_6_A_12_ANYS                           18505   C           Arago                            661              10 Sant_Marti                   65   el_Clot                                 432.483.554              4.584.923.016              21.921.425                     24   Guipuscoa_c._-_Biscaia_c._
0025-01-J001-PV001-0000347JO                   42400   BALANCi            163.45                                            546   FINS_A_5_ANYS                           244800   C           Paraguai                           44             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.899.788              4.585.447.915              22.090.293                     25   Zenobia_Camprubi_Pl.
0025-01-J001-PV001-0000348JO                   42400   MULTIJOC           163.45                                            546   FINS_A_5_ANYS                           244800   C           Paraguai                           44             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.901.686              4.585.453.461              22.090.514                     25   Zenobia_Camprubi_Pl.
0025-01-J001-PV001-0000349JO                   42400   VA_I_Ve            163.45                                            546   FINS_A_5_ANYS                           244800   C           Paraguai                           44             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.896.466              4.585.450.305              22.089.893                     25   Zenobia_Camprubi_Pl.
0025-01-J001-PV001-0000350JO                   42400   BALANCi            163.45                                            546   FINS_A_5_ANYS                           244800   C           Paraguai                           44             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.905.376              4.585.450.806              22.090.959                     25   Zenobia_Camprubi_Pl.
0028-02-J002-PV001-0000428JO                   42795   GRONXADOR          197.12                                            549   MIXTA                                   700630   Pl          Puigcerda                           0             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.744.769              4.585.402.592              22.071.795                     28   Puigcerda_Pl.
0028-02-J002-PV001-0000429JO                   42795   GRIMPAR            197.12                                            549   MIXTA                                   700630   Pl          Puigcerda                           0             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.742.425              4.585.395.402              22.071.522                     28   Puigcerda_Pl.
0028-02-J002-PV001-0000430JO                   42795   ALTRES_JOCS        197.12                                            549   MIXTA                                   700630   Pl          Puigcerda                           0             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.748.302              4.585.396.292              22.072.224                     28   Puigcerda_Pl.
0028-02-J002-PV001-0000431JO                   42795   TOBOGAN            197.12                                            549   MIXTA                                   700630   Pl          Puigcerda                           0             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.748.875              4.585.399.786              22.072.289                     28   Puigcerda_Pl.
0028-02-J002-PV001-0000432JO                   42795   BALANCi            197.12                                            549   MIXTA                                   700630   Pl          Puigcerda                           0             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.741.883              4.585.404.128              22.071.448                     28   Puigcerda_Pl.
0029-01-J001-PV001-0000425JO                   42784   GRIMPAR            433.04                                            547   DE_6_A_12_ANYS                          350308   C           Valencia                         685              10 Sant_Marti                   65   el_Clot                                 432.430.167              4.585.075.181              21.914.868                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0029-01-J001-PV001-0000426JO                   42784   TOBOGAN            433.04                                            547   DE_6_A_12_ANYS                          350308   C           Valencia                         685              10 Sant_Marti                   65   el_Clot                                 432.428.319              4.585.060.608              21.914.663                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0029-01-J001-PV001-0000427JO                   42784   GRONXADOR          433.04                                            547   DE_6_A_12_ANYS                          350308   C           Valencia                         685              10 Sant_Marti                   65   el_Clot                                 432.425.632              4.585.051.443              21.914.352                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0029-01-J001-PV001-0004974JO                   42784   SEIENT_GRONXADOR   433.04                                            547   DE_6_A_12_ANYS                          350308   C           Valencia                         685              10 Sant_Marti                   65   el_Clot                                 432.425.881              4.585.051.862              21.914.381                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0029-01-J001-PV001-0004975JO                   42784   SEIENT_GRONXADOR   433.04                                            547   DE_6_A_12_ANYS                          350308   C           Valencia                         685              10 Sant_Marti                   65   el_Clot                                 432.425.517              4.585.050.497              21.914.339                     29   Valencia_c._-_Espronceda_c._-_Clot_c._-_Biscaia_c.
0030-02-J001-PV001-0004349JO                  976002   ALTRES_JOCS        118.16                                            548   MAJORS_DE_12_ANYS                       356202   C           Veneçuela                          25             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.583.115              4.584.497.448              22.053.446                     30   Fluvia_c._-_Cristobal_de_Moura_c._-_Provençals_c.
0030-02-J001-PV001-0004350JO                  976002   GRIMPAR            118.16                                            548   MAJORS_DE_12_ANYS                       356202   C           Veneçuela                          25             10 Sant_Marti                   71   Provençals_del_Poblenou                 433.584.225              4.584.504.783              22.053.571                     30   Fluvia_c._-_Cristobal_de_Moura_c._-_Provençals_c.
0033-01-J001-PV004-0003457JO                  696080   BALANCi            278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.553.538              4.583.899.460              22.050.564                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003458JO                  696080   BALANCi            278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.551.798              4.583.901.330              22.050.354                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003459JO                  696080   GRONXADOR          278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.544.777              4.583.898.640              22.049.517                     33   Josep_Trueta_Jardins
0033-01-J001-PV004-0003460JO                  696080   GRONXADOR          278.45                                            549   MIXTA                                   102623   Jard        Josep_Trueta                        0             10 Sant_Marti                   68   el_Poblenou                             433.552.619              4.583.909.729              22.050.443                     33   Josep_Trueta_Jardins
