Data_Referencia Codi_Districte Nom_Districte Codi_Barri    Nom_Barri   AEB       Valor        SEXE       EDAT_1
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   27   1   19
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   29   1   20
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   35   1   21
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   44   1   22
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   38   1   23
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   49   1   24
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   61   1   25
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   64   1   26
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   56   1   27
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   60   1   28
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   59   1   29
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   50   1   30
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   60   1   31
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   64   1   32
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   61   1   33
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   70   1   34
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   59   1   35
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   60   1   36
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   53   1   37
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   52   1   38
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   55   1   39
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   46   1   40
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   33   1   41
2020-01-01   1 Ciutat_Vella   1 el_Raval   2   43   1   42
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      40   1   43
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      41   1   44
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      36   1   45
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      40   1   46
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      37   1   47
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      42   1   48
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      47   1   49
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      27   1   50
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      37   1   51
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      29   1   52
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      27   1   53
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      34   1   54
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      36   1   55
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      32   1   56
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      38   1   57
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      37   1   58
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      24   1   59
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      27   1   60
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      26   1   61
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      25   1   62
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      29   1   63
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      22   1   64
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      22   1   65
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      18   1   66
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      8    1   67
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      10   1   68
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      11   1   69
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      22   1   70
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      14   1   71
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      25   1   72
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      16   1   73
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      19   1   74
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      15   1   75
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      11   1   76
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      17   1   77
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      10   1   78
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      14   1   79
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      11   1   80
2020-01-01   1 Ciutat_Vella   1 el_Raval   2 ..        1   81
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      13   1   82
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      11   1   83
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      7    1   84
2020-01-01   1 Ciutat_Vella   1 el_Raval   2      16   1   85
