codi                           codi_carrer        tipus_via   nom_carrer           numero_postal          codi_districte        nom_districte   codi_barri        nom_barri                    x_etrs89                 y_etrs89                   longitud                latitud                 espai_verd_codi        espai_verd_nom
0019-02-J001-PV001-0000308JO              60807   C           Cantabria                              12                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.479.347              4.585.527.404              22.039.899             414.185.493                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0019-02-J001-PV001-0000310JO              60807   C           Cantabria                              12                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.472.172              4.585.531.796              22.039.036             414.185.883                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0019-02-J001-PV001-0000311JO              60807   C           Cantabria                              12                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.475.839              4.585.532.959              22.039.473             414.185.990                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0019-02-J002-PV001-0000307JO              60807   C           Cantabria                              12                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.437.170              4.585.571.018              22.034.805             414.189.386                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0019-02-J002-PV001-0000309JO              60807   C           Cantabria                              12                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.441.975              4.585.568.124              22.035.383             414.189.130                     19   Cantabria_c._-_Andrade_c._-_Puigcerda_c._-_Concili_de_Trento_c.
0020-01-J001-PV001-0005007JO             343200   Via         Trajana                                27                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.658.600              4.586.517.353              22.060.261             414.274.803                     20   Trajana_Via_c._-_Santander_c._-_Verneda_Pg._-_Binefar_c.
0020-01-J001-PV001-0005008JO             343200   Via         Trajana                                27                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.656.647              4.586.511.219              22.060.034             414.274.249                     20   Trajana_Via_c._-_Santander_c._-_Verneda_Pg._-_Binefar_c.
0020-01-J001-PV001-0005009JO             343200   Via         Trajana                                27                    10   Sant_Marti                   73   la_Verneda_i_la_Pau                     433.653.132              4.586.517.448              22.059.607             414.274.807                     20   Trajana_Via_c._-_Santander_c._-_Verneda_Pg._-_Binefar_c.
0022-01-J001-PV002-0000298JO             242906   C           Pallars                              8361                    10   Sant_Marti                   68   el_Poblenou                             433.198.738              4.583.890.185              22.008.131             414.037.801                     22   Can_Felipa_Pl._(Fabrica_Catex_c.)
0022-01-J001-PV002-0000299JO             242906   C           Pallars                              8361                    10   Sant_Marti                   68   el_Poblenou                             433.197.127              4.583.893.752              22.007.935             414.038.120                     22   Can_Felipa_Pl._(Fabrica_Catex_c.)
