codi                           area_joc_id       tipus              area_joc_superficie_m2   area_joc_tipus_edat_id         area_joc_tipus_edat_nom
0076-01-J007-PV001-0000499JO    43080   VA_I_Ve            753.12   547   DE_6_A_12_ANYS
0076-01-J007-PV001-0000500JO    43080   TOBOGAN            753.12   547   DE_6_A_12_ANYS
0076-01-J007-PV001-0000501JO    43080   TOBOGAN            753.12   547   DE_6_A_12_ANYS
0076-01-J007-PV001-0000502JO    43080   BALANCi            753.12   547   DE_6_A_12_ANYS
0076-01-J007-PV001-0000503JO    43080   GRONXADOR          753.12   547   DE_6_A_12_ANYS
0076-01-J007-PV001-0000504JO    43080   BALANCi            753.12   547   DE_6_A_12_ANYS
0081-01-J001-PV001-0000494JO    43064   VA_I_Ve            66.08    546   FINS_A_5_ANYS
0081-01-J001-PV001-0000495JO    43064   VA_I_Ve            66.08    546   FINS_A_5_ANYS
0081-01-J002-PV001-0000493JO    43063   VA_I_Ve            65.27    546   FINS_A_5_ANYS
0081-01-J002-PV001-0000496JO    43063   TOBOGAN            65.27    546   FINS_A_5_ANYS
0081-01-J002-PV001-0000497JO    43063   GRONXADOR          65.27    546   FINS_A_5_ANYS
0087-01-J001-PV001-0000488JO    43051   MULTIJOC           227.79   549   MIXTA
0087-01-J001-PV001-0000489JO    43051   VA_I_Ve            227.79   549   MIXTA
0087-01-J001-PV001-0000490JO    43051   MULTIJOC           227.79   549   MIXTA
0087-01-J001-PV001-0000491JO    43051   GRONXADOR          227.79   549   MIXTA
0087-01-J001-PV001-0000492JO    43051   BALANCi            227.79   549   MIXTA
0088-01-J001-PV001-0003269JO   679677   ALTRES_JOCS        390.30   549   MIXTA
0088-01-J001-PV001-0003271JO   679677   VA_I_Ve            390.30   549   MIXTA
0088-01-J001-PV001-0003273JO   679677   MULTIJOC           390.30   549   MIXTA
0088-01-J001-PV001-0003274JO   679677   GRONXADOR          390.30   549   MIXTA
0088-01-J001-PV001-0003275JO   679677   GRONXADOR          390.30   549   MIXTA
0088-01-J001-PV001-0003276JO   679677   BALANCi            390.30   549   MIXTA
0088-01-J001-PV001-0003277JO   679677   BALANCi            390.30   549   MIXTA
0088-01-J001-PV001-0003303JO   679677   BALANCi            390.30   549   MIXTA
0088-01-J001-PV001-0003305JO   679677   BALANCi            390.30   549   MIXTA
0088-01-J001-PV001-0003306JO   679677   ALTRES_JOCS        390.30   549   MIXTA
0089-01-J001-PV001-0003855JO    43001   MULTIJOC           143.45   547   DE_6_A_12_ANYS
0089-01-J001-PV001-0003856JO    43001   GRONXADOR          143.45   547   DE_6_A_12_ANYS
0089-01-J002-PV001-0000480JO    43002   GRIMPAR            221.86   547   DE_6_A_12_ANYS
0089-01-J003-PV001-0003857JO    43003   VA_I_Ve            148.85   546   FINS_A_5_ANYS
0089-01-J003-PV001-0003858JO    43003   MULTIJOC           148.85   546   FINS_A_5_ANYS
0092-02-J004-PV001-0000468JO    42938   GRONXADOR          558.18   547   DE_6_A_12_ANYS
0092-02-J004-PV001-0000471JO    42938   TORRE_TOBOGAN      558.18   547   DE_6_A_12_ANYS
0092-02-J004-PV001-0000472JO    42938   GRIMPAR            558.18   547   DE_6_A_12_ANYS
0092-02-J004-PV001-0000473JO    42938   GRIMPAR            558.18   547   DE_6_A_12_ANYS
0092-02-J005-PV001-0000465JO    42940   ALTRES_JOCS        461.68   547   DE_6_A_12_ANYS
0092-02-J005-PV001-0000469JO    42940   GRONXADOR          461.68   547   DE_6_A_12_ANYS
0092-02-J005-PV001-0000474JO    42940   MULTIJOC           461.68   547   DE_6_A_12_ANYS
0092-02-J005-PV001-0003239JO    42940   TIROLINA           461.68   547   DE_6_A_12_ANYS
0092-02-J005-PV001-0003240JO    42940   TIROLINA           461.68   547   DE_6_A_12_ANYS
0092-02-J006-PV001-0000463JO    42939   BALANCi            111.61   546   FINS_A_5_ANYS
0092-02-J006-PV001-0000470JO    42939   TOBOGAN            111.61   546   FINS_A_5_ANYS
0092-02-J006-PV001-0000475JO    42939   VA_I_Ve            111.61   546   FINS_A_5_ANYS
0092-02-J006-PV001-0000476JO    42939   VA_I_Ve            111.61   546   FINS_A_5_ANYS
0093-01-J001-PV001-0002453JO   161361   EQUILIBRI          678.80   547   DE_6_A_12_ANYS
